p232_001_,17,4
p232_002_,12,4
p232_003_,7,2
p232_005_,2,2
p232_006_,17,2
p232_007_,12,3
p232_001_,17,4
p232_002_,12,4
p232_003_,7,2
p232_005_,2,2
p232_006_,17,2
p232_007_,12,3
p232_009_,7,3
p232_010_,2,3
p232_011_,17,3
p232_012_,12,2
p232_013_,7,3
p232_014_,2,2
p232_015_,17,3
p232_016_,12,3
p232_017_,7,3
p232_019_,2,2
p232_020_,17,3
p232_021_,12,3
p232_022_,7,2
p232_023_,2,1
p232_024_,17,3
p232_025_,12,3
p232_027_,7,2
p232_028_,1,3
p232_029_,17,2
p232_030_,12,3
p232_031_,6,2
p232_032_,2,3
p232_033_,16,4
p232_034_,11,2
p232_035_,7,2
p232_036_,2,2
p232_037_,17,3
p232_038_,12,3
p232_039_,5,2
p232_040_,1,1
p232_041_,17,2
p232_042_,12,3
p232_043_,7,3
p232_044_,1,3
p232_045_,16,3
p232_046_,11,1
p232_047_,7,3
p232_048_,0,2
p232_049_,17,3
p232_050_,12,3
p232_051_,6,3
p232_052_,2,3
p232_053_,17,5
p232_054_,12,2
p232_055_,7,1
p232_056_,2,2
p232_057_,17,3
p232_058_,12,3
p232_059_,6,3
p232_060_,1,1
p232_061_,17,2
p232_062_,12,2
p232_063_,6,2
p232_064_,2,2
p232_065_,16,3
p232_066_,12,3
p232_067_,7,2
p232_068_,2,2
p232_069_,17,3
p232_070_,12,4
p232_071_,7,4
p232_072_,2,2
p232_073_,16,4
p232_074_,12,3
p232_075_,7,2
p232_076_,2,2
p232_077_,16,3
p232_078_,12,2
p232_079_,7,2
p232_080_,0,2
p232_081_,17,4
p232_082_,12,2
p232_083_,6,3
p232_084_,1,4
p232_085_,17,4
p232_086_,12,3
p232_087_,7,3
p232_088_,2,2
p232_089_,17,3
p232_090_,12,2
p232_091_,6,2
p232_092_,1,2
p232_093_,17,2
p232_094_,12,2
p232_095_,8,3
p232_096_,2,3
p232_097_,17,3
p232_098_,12,2
p232_099_,7,2
p232_100_,1,3
p232_101_,17,1
p232_102_,12,4
p232_103_,7,2
p232_104_,2,3
p232_105_,16,3
p232_106_,12,2
p232_107_,7,2
p232_108_,1,3
p232_109_,17,3
p232_110_,12,2
p232_112_,7,3
p232_113_,1,1
p232_114_,17,3
p232_115_,12,2
p232_116_,7,3
p232_117_,2,3
p232_118_,17,1
p232_119_,12,2
p232_120_,6,3
p232_121_,2,3
p232_123_,17,3
p232_124_,11,2
p232_125_,7,2
p232_126_,2,2
p232_127_,17,5
p232_128_,12,1
p232_129_,7,3
p232_130_,2,2
p232_131_,17,3
p232_132_,12,2
p232_133_,7,3
p232_134_,2,1
p232_135_,17,3
p232_136_,11,3
p232_137_,6,4
p232_138_,2,1
p232_139_,17,2
p232_140_,11,3
p232_141_,7,3
p232_142_,3,2
p232_143_,16,1
p232_144_,12,3
p232_145_,7,3
p232_146_,2,2
p232_147_,17,4
p232_148_,12,2
p232_150_,7,3
p232_151_,2,1
p232_152_,17,3
p232_153_,12,3
p232_154_,7,2
p232_155_,2,2
p232_156_,17,4
p232_158_,12,2
p232_159_,7,1
p232_160_,3,2
p232_161_,17,3
p232_162_,11,2
p232_163_,7,2
p232_164_,2,2
p232_165_,17,2
p232_167_,12,3
p232_169_,7,2
p232_170_,2,3
p232_171_,17,3
p232_172_,12,3
p232_173_,7,2
p232_174_,2,2
p232_175_,17,2
p232_176_,12,2
p232_177_,6,2
p232_178_,2,3
p232_179_,17,4
p232_180_,12,2
p232_181_,7,1
p232_182_,2,3
p232_183_,16,3
p232_184_,12,2
p232_185_,7,2
p232_186_,1,2
p232_187_,16,4
p232_188_,12,3
p232_189_,7,3
p232_190_,2,2
p232_191_,17,3
p232_193_,12,3
p232_194_,7,2
p232_195_,2,3
p232_196_,16,2
p232_197_,12,3
p232_198_,6,2
p232_199_,2,1
p232_200_,17,2
p232_201_,12,1
p232_202_,8,3
p232_203_,2,1
p232_204_,17,1
p232_205_,12,3
p232_206_,7,2
p232_207_,1,4
p232_208_,16,1
p232_209_,11,3
p232_210_,6,3
p232_001_,17,4
p232_002_,12,4
p232_003_,7,2
